,GSM4715941,GSM4715945,GSM4715946,GSM4715949,GSM4715974,GSM4715979,GSM4715982,GSM4715984,GSM4715991,GSM4715992
POGK,-13.827399950121452,-13.618250925533161,-13.573705594806912,-13.615907677383733,-13.928135750455258,-13.977829944645961,-13.977296467521027,-14.075138118737124,-13.241950527824658,-13.294853319664478
MPC2,-14.61311257842206,-15.827035706130811,-14.720735386014791,-14.380590689957794,-15.138964639825042,-15.57996758917525,-15.318410392751074,-14.856577558991702,-14.902371665008738,-14.961964861739505
CREG1,-13.267804169558723,-13.482207209133371,-13.479278058719453,-13.846369149429174,-12.546947381569936,-13.984961422542945,-13.795230186210967,-13.051730582008764,-13.676534000146296,-13.619890193740368
DCAF6,-15.113244238863333,-14.292404880959799,-14.003766700414293,-13.957133937700979,-13.207392811711046,-14.153100246908156,-13.793195355068432,-13.37460028143791,-15.041687240545007,-14.742796341277343
GPA33,-16.01869860235633,-16.300966894463222,-16.09924700926852,-16.582224551127446,-17.30042806251916,-16.70628403895665,-16.181705187775112,-16.329778083828685,-15.705206390028959,-15.369507824471425
RXRG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.874502020489164
TBX19,-18.130591482427228,-17.27824681796314,-18.76221202199095,-19.145160745518602,-17.875930233991248,-18.26323216350821,-17.941926134241623,-18.28778399516406,-18.593785107360535,-17.676562642877258
UCK2,-17.130591482427228,-16.27824681796314,-15.479278058719453,-16.229552932808975,-16.74100065390514,-16.348962037534093,-17.0159267156854,-16.980116593401867,-16.295443832790788,-15.622114858854882
TMCO1,-13.877773472636571,-14.503459758361965,-13.996677275627974,-14.169964136519175,-14.224175029344005,-14.10258497565391,-14.16977654345708,-14.067504793834695,-13.896347877380968,-13.569647438960745
XCL1,-18.83686027937052,-20.95631872307578,-18.66910261759947,-22.6045923641559,-22.548355575962745,-20.26323216350821,-21.67889172840783,-19.896593237839582,-19.995883550931882,-19.64003676685214
XCL2,-17.303428079289446,-16.903207386616216,-17.581639776349128,-18.019629863434744,-21.548355575962745,-18.876209040398965,-18.978452010266736,-18.437161619202286,-17.694714016211318,-17.874502020489164
POU2F1,-14.81332476490973,-13.540154558342648,-14.489193527584536,-14.153381252323571,-13.173316144615818,-13.33613799717651,-13.09080177135487,-13.44373427312577,-13.853411762230374,-13.71403734829592
MAEL,-22.084787792814105,-22.27824681796314,0.0,-22.6045923641559,-21.548355575962745,0.0,-23.263854229128984,-22.218521332726944,-23.803238472989488,-19.055074266130987
ILDR2,-20.2774328707565,-19.27824681796314,-20.66910261759947,-19.145160745518602,-19.226427481075383,-20.504240263012004,-19.871536806350225,-19.089238315781976,-19.89634787738097,-16.36205201955238
DPT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.218521332726944,0.0,-19.055074266130987
MGST3,-15.384348074673012,-15.827035706130811,-15.489193527584536,-15.771702349991159,-16.088923957325445,-16.162771981728998,-16.24148641610053,-16.276006827387704,-15.564833733664408,-15.141785899324317
ADCY10,-20.499825292092947,-19.818815199325844,-19.861747695541865,-19.145160745518602,-19.226427481075383,-19.44010992559229,-19.67889172840783,-20.04859633128463,-20.633313471547176,-18.1546099396819
RFWD2,-12.535003124866243,-13.031506219469994,-12.32813985334777,-12.008402608011489,-12.372806025326554,-12.074928632751043,-12.113472260311138,-12.346231222438854,-12.882885617574406,-12.991858971127325
NECTIN4,-23.0847877928141,0.0,0.0,-22.6045923641559,0.0,-23.9636718816493,0.0,-23.218521332726947,0.0,-19.1546099396819
UFC1,-13.912360284168622,-14.374364972226958,-13.811121622471896,-13.7280754175909,-14.650510119957234,-14.35080338435826,-14.57211070995771,-14.205896793861886,-13.767064860436003,-13.523173009161244
PPOX,-16.239297741869727,-16.011460277268238,-15.94118216303627,-16.560198244797444,-16.122090821260645,-16.143492919234113,-16.214005679678422,-15.8133798695906,-15.831694919038714,-16.422806050631475
FCGR2A,-8.679845831170283,-9.646160405127958,-9.133219764848215,-9.969781313984182,-9.878584687437227,-9.395181309763052,-9.507610663416662,-9.995198343190651,-10.423048006239652,-10.325340241195857
NUF2,-18.997324951563762,-19.470891895905535,-18.76221202199095,-18.69770176854738,-17.847915857821654,-18.032934544086416,-18.740292273071972,-17.843481901380017,-18.995883550931882,-16.853440404961336
RGS5,-20.76285969792674,0.0,-20.347174522712105,-21.019629863434744,-21.96339307524159,-21.9636718816493,-20.45649930707138,-21.218521332726944,-20.803238472989488,-17.129074847574763
SDHC,-13.513035149310557,-13.612910900777964,-13.759209533829427,-13.220888071681847,-14.044529837966994,-14.185594752113944,-13.663012114741683,-13.610266510749033,-13.266991257301358,-13.407376010061867
PFDN2,-16.42657631006231,-16.56400130029702,-16.78645956823763,-17.6045923641559,-16.582571291300656,-16.70628403895665,-16.89753201488317,-16.618608490539817,-16.490355517705133,-16.055074266130987
NR1I3,-18.499825292092947,-17.693284317241982,-18.347174522712105,-18.21227494137714,-18.378430574520433,-18.1563169595917,-17.997067688434083,-18.28778399516406,-19.21827597226833,-18.055074266130987
USP21,-16.514932184483154,-15.85198206326104,-16.193369186633074,-17.650396053769025,-16.537128320539487,-16.02703394264673,-16.05928308487978,-16.01884898789058,-16.499457724812384,-16.77214030285949
F13B,0.0,0.0,0.0,0.0,0.0,-23.9636718816493,0.0,-24.218521332726944,0.0,-20.64003676685214
PRCC,-16.56122583675709,-15.708391209632191,-15.811121622471896,-16.300811615978798,-16.641464980354225,-16.56279244536712,-16.469438362778877,-16.68713987221063,-16.89634787738097,-17.055074266130987
FCRL5,-14.49607315723184,-14.567440384263788,-13.80491647294519,-14.621598789461588,-13.080750025879748,-12.348042244681203,-13.938548774039303,-13.070044750548666,-13.789218002674552,-13.71403734829592
RRNAD1,-16.202144743452262,-15.786393721633466,-16.22615912175074,-16.98988252004069,-16.61761823839986,-16.35634156789969,-16.641802409672607,-16.750915782643947,-16.45451031875841,-16.332608241659894
MRPL24,-15.545628981706072,-16.3357323126239,-15.529551265200675,-16.128858933189502,-16.582571291300656,-16.169256015299194,-16.16582214616846,-16.03364598981866,-15.710481332069634,-15.135416374448589
PIGM,-15.56908795453006,-16.31246253330105,-15.914215115436,-15.98988252004069,-16.290967733270094,-15.91382333219874,-16.14491315640548,-15.788068781061412,-15.742542541301933,-15.71403734829592
CASQ1,-23.0847877928141,0.0,0.0,-22.6045923641559,0.0,0.0,-21.093929227686672,-21.218521332726944,0.0,-20.1546099396819
ISG20L2,-14.148149853811534,-14.261438530276584,-13.735411962647236,-15.16164886830717,-15.11372734832602,-15.041830944574814,-15.289439639323456,-15.48720230170188,-14.54114362761931,-14.57394757639437
CRABP2,-23.0847877928141,0.0,0.0,0.0,-23.548355575962745,-22.9636718816493,-21.941926134241623,-23.218521332726947,-23.803238472989488,-21.961964861739506
HDGF,-12.547569392275507,-11.98938074379732,-11.690392158493111,-12.932167022184405,-11.865799834882434,-12.86893437660121,-12.549179401820984,-11.856851653234171,-12.167520352658439,-12.409295764225233
ABL2,-14.629460572509544,-13.695164050460207,-14.550161544875962,-14.229552932808973,-14.076680361570698,-13.443053201093022,-13.325009771662813,-13.931963571118986,-14.721089431635615,-14.187177802138333
