,Gene,Mean Diff,Initial p-val,Adjusted p-values,Reject?
TREML1,TREML1,-1.248477116106855,0.00023296629087817789,0.02912723043430637,True
MRPL58,MRPL58,0.22301049242959436,0.1980842475128758,0.49916224000050574,False
ZNF793,ZNF793,0.43976273532032195,0.042504113893966106,0.26893730488142564,False
RAB11B,RAB11B,-0.24607062033377147,0.41413082367159915,0.6860553730322213,False
CCDC112,CCDC112,0.14286299891124088,0.45966068965451257,0.7185520551145254,False
BDH2,BDH2,0.3068955397290374,0.11524725694541613,0.3974501441079316,False
RUNDC3A,RUNDC3A,0.0636309540824378,0.8871387705262045,0.9570008347004691,False
PFDN2,PFDN2,0.13343013767042322,0.4049828429120863,0.6795913914403521,False
SPAG1,SPAG1,0.08897794005030235,0.5631695702296884,0.7845881962675554,False
SLC10A1,SLC10A1,-0.18288258208442087,0.262435744937767,0.5656816498833174,False
EXD2,EXD2,0.3116062107580859,0.10010768847995608,0.3760138541971503,False
TJAP1,TJAP1,-0.010762568558298824,0.9518522414181662,0.983340117081896,False
PHLDB2,PHLDB2,0.24278887736536703,0.3275809248776905,0.6189999360240602,False
FBXO41,FBXO41,0.10471308088452957,0.6470139948284366,0.8359949938871987,False
KLRC1,KLRC1,-0.03153122923651708,0.8715482926525112,0.9493570263472231,False
EOGT,EOGT,0.219380786506143,0.039825027565087816,0.26256335384339347,False
SMPD1,SMPD1,0.024385331584397818,0.8926809056380157,0.9596251145230713,False
TGM2,TGM2,0.2196625867648372,0.5810265266002983,0.7984073576921813,False
RFX2,RFX2,-0.4418535646711952,0.1444826069169089,0.4362096390613272,False
SCNM1,SCNM1,-0.20263444969131328,0.2908880775115703,0.5898985569758656,False
GGCT,GGCT,0.6448656286153671,0.0003485919166740265,0.03295292776270775,True
SH2B2,SH2B2,-0.5065896481711611,0.03196641210542185,0.2441219521267769,False
SEC61A2,SEC61A2,-0.07702291999685684,0.5945288977100271,0.8062012149735445,False
GSTCD,GSTCD,0.522667416366275,0.0020074183077449645,0.0732571144430517,False
